player_id,gender,country,debut_year,birth_year,birth_month,played_youth
12199,Women,France,2019,2001,7,1
12202,Women,France,2019,2001,1,1
12206,Men,Georgia,2016,1990,12,0
12213,Men,Great Britain,2016,1991,12,0
12216,Men,Greece,2016,1992,7,0
12219,Women,Hungary,2016,1989,2,0
12220,Women,Hungary,2016,1986,7,0
12233,Men,Iceland,2016,1993,10,0
12260,Men,Montenegro,2016,1990,10,0
12261,Men,Montenegro,2016,1999,1,0
12262,Women,Montenegro,2017,2001,1,1
12263,Women,Montenegro,2017,1998,12,1
12333,Women,Ukraine,2016,1988,2,0
12337,Women,Ukraine,2019,2000,6,1
12338,Men,Ukraine,2016,1989,6,0
12392,Women,Belarus,2017,1990,10,0
12433,Women,Czech Republic,2017,1987,1,0
12476,Men,Georgia,2017,1989,9,0
12498,Men,Great Britain,2017,1991,9,0
12522,Men,Hungary,2017,1989,7,0
12565,Men,Israel,2017,1990,9,0
12571,Men,Italy,2017,1985,9,0
12582,Women,Italy,2017,1998,12,1
12648,Women,Montenegro,2017,1990,7,0
12701,Men,Romania,2017,1988,9,0
12717,Men,Russia,2019,1998,2,1
12748,Men,Slovenia,2017,1989,7,0
12750,Men,Slovenia,2017,1999,2,0
12754,Women,Slovenia,2019,1999,12,1
12756,Women,Slovenia,2017,1991,7,0
12792,Men,Turkey,2017,1983,3,1
12834,Women,France,2018,1992,9,0
12843,Women,Great Britain,2018,1995,5,0
12872,Women,Italy,2018,1989,8,0
12918,Men,Poland,2019,2000,11,1
12993,Women,Hungary,2019,1987,10,0
13005,Men,Italy,2019,1989,6,0
13045,Women,Turkey,2019,1993,3,0
13046,Men,Turkey,2019,1993,4,0
